foundation_number,foundation_name,foundation_url
1,Foundation 1: Biomolecules,https://www.khanacademy.org/test-prep/mcat/biomolecules
2,Foundation 2: Cells,https://www.khanacademy.org/test-prep/mcat/cells
3,Foundation 3: Organ systems,https://www.khanacademy.org/test-prep/mcat/organ-systems
4,Foundation 4: Physical processes,https://www.khanacademy.org/test-prep/mcat/physical-processes
5,Foundation 5: Chemical processes,https://www.khanacademy.org/test-prep/mcat/chemical-processes
6,Foundation 6: Processing the environment,https://www.khanacademy.org/test-prep/mcat/processing-the-environment
7,Foundation 7: Behavior,https://www.khanacademy.org/test-prep/mcat/behavior
8,Foundation 8: Individuals and society,https://www.khanacademy.org/test-prep/mcat/individuals-and-society
9,Foundation 9: Society and culture,https://www.khanacademy.org/test-prep/mcat/society-and-culture
10,Foundation 10: Social inequality,https://www.khanacademy.org/test-prep/mcat/social-inequality